format_raw,Format,Metric,Year,count,Revenue [m$],Units [m],Rev [m$]
CD,CD,Value,2010,1,3389,0,3389
CD,CD,Value,2011,1,3101,0,3101
CD,CD,Value,2012,1,2486,0,2486
CD,CD,Value,2013,1,2141,0,2141
CD,CD,Value,2014,1,1776,0,1776
CD,CD,Value,2015,1,1445,0,1445
CD,CD,Value,2016,1,1131,0,1131
CD,CD,Value,2017,1,1057,0,1057
CD,CD,Value,2018,1,698,0,698
CD,CD,Value,2019,1,615,0,615
CD Single,CD,Value,1973,1,0,0,0
CD Single,CD,Value,1974,1,0,0,0
CD Single,CD,Value,1975,1,0,0,0
CD Single,CD,Value,1976,1,0,0,0
CD Single,CD,Value,1977,1,0,0,0
CD Single,CD,Value,1978,1,0,0,0
CD Single,CD,Value,1979,1,0,0,0
CD Single,CD,Value,1980,1,0,0,0
CD Single,CD,Value,1981,1,0,0,0
CD Single,CD,Value,1982,1,0,0,0
CD Single,CD,Value,1983,1,0,0,0
CD Single,CD,Value,1984,1,0,0,0
CD Single,CD,Value,1985,1,0,0,0
CD Single,CD,Value,1986,1,0,0,0
CD Single,CD,Value,1987,1,0,0,0
CD Single,CD,Value,1988,1,10,0,10
CD Single,CD,Value,1989,1,-1,0,-1
CD Single,CD,Value,1990,1,6,0,6
CD Single,CD,Value,1991,1,35,0,35
CD Single,CD,Value,1992,1,45,0,45
CD Single,CD,Value,1993,1,46,0,46
CD Single,CD,Value,1994,1,56,0,56
CD Single,CD,Value,1995,1,111,0,111
CD Single,CD,Value,1996,1,184,0,184
CD Single,CD,Value,1997,1,273,0,273
CD Single,CD,Value,1998,1,213,0,213
CD Single,CD,Value,1999,1,222,0,222
CD Single,CD,Value,2000,1,143,0,143
CD Single,CD,Value,2001,1,79,0,79
CD Single,CD,Value,2002,1,20,0,20
CD Single,CD,Value,2003,1,36,0,36
CD Single,CD,Value,2004,1,15,0,15
CD Single,CD,Value,2005,1,11,0,11
CD Single,CD,Value,2006,1,8,0,8
CD Single,CD,Value,2007,1,12,0,12
CD Single,CD,Value,2008,1,4,0,4
CD Single,CD,Value,2009,1,3,0,3
CD Single,CD,Value,2010,1,3,0,3
CD Single,CD,Value,2011,1,4,0,4
CD Single,CD,Value,2012,1,3,0,3
CD Single,CD,Value,2013,1,2,0,2
CD Single,CD,Value,2014,1,4,0,4
CD Single,CD,Value,2015,1,1,0,1
CD Single,CD,Value,2016,1,0,0,0
CD Single,CD,Value,2017,1,1,0,1
CD Single,CD,Value,2018,1,0,0,0
CD Single,CD,Value,2019,1,0,0,0
Cassette,Cassette,Value,1973,1,76,0,76
Cassette,Cassette,Value,1974,1,87,0,87
Cassette,Cassette,Value,1975,1,99,0,99
Cassette,Cassette,Value,1976,1,146,0,146
Cassette,Cassette,Value,1977,1,250,0,250
Cassette,Cassette,Value,1978,1,450,0,450
Cassette,Cassette,Value,1979,1,581,0,581
Cassette,Cassette,Value,1980,1,705,0,705
Cassette,Cassette,Value,1981,1,1063,0,1063
Cassette,Cassette,Value,1982,1,1385,0,1385
Cassette,Cassette,Value,1983,1,1811,0,1811
Cassette,Cassette,Value,1984,1,2384,0,2384
Cassette,Cassette,Value,1985,1,2412,0,2412
Cassette,Cassette,Value,1986,1,2500,0,2500
Cassette,Cassette,Value,1987,1,2960,0,2960
Cassette,Cassette,Value,1988,1,3385,0,3385
Cassette,Cassette,Value,1989,1,3346,0,3346
Cassette,Cassette,Value,1990,1,3472,0,3472
Cassette,Cassette,Value,1991,1,3020,0,3020
Cassette,Cassette,Value,1992,1,3116,0,3116
Cassette,Cassette,Value,1993,1,2916,0,2916
Cassette,Cassette,Value,1994,1,2976,0,2976
Cassette,Cassette,Value,1995,1,2304,0,2304
Cassette,Cassette,Value,1996,1,1905,0,1905
Cassette,Cassette,Value,1997,1,1523,0,1523
Cassette,Cassette,Value,1998,1,1420,0,1420
Cassette,Cassette,Value,1999,1,1062,0,1062
Cassette,Cassette,Value,2000,1,626,0,626
Cassette,Cassette,Value,2001,1,363,0,363
Cassette,Cassette,Value,2002,1,210,0,210
Cassette,Cassette,Value,2003,1,108,0,108
Cassette,Cassette,Value,2004,1,24,0,24
Cassette,Cassette,Value,2005,1,13,0,13
Cassette,Cassette,Value,2006,1,4,0,4
Cassette,Cassette,Value,2007,1,3,0,3
Cassette,Cassette,Value,2008,1,1,0,1
Cassette,Cassette,Value,2009,1,0,0,0
Cassette,Cassette,Value,2010,1,0,0,0
Cassette,Cassette,Value,2011,1,0,0,0
Cassette,Cassette,Value,2012,1,0,0,0
Cassette,Cassette,Value,2013,1,0,0,0
Cassette,Cassette,Value,2014,1,0,0,0
Cassette,Cassette,Value,2015,1,0,0,0
Cassette,Cassette,Value,2016,1,0,0,0
Cassette,Cassette,Value,2017,1,0,0,0
Cassette,Cassette,Value,2018,1,0,0,0
Cassette,Cassette,Value,2019,1,0,0,0
Cassette Single,Cassette,Value,1973,1,0,0,0
Cassette Single,Cassette,Value,1974,1,0,0,0
Cassette Single,Cassette,Value,1975,1,0,0,0
Cassette Single,Cassette,Value,1976,1,0,0,0
Cassette Single,Cassette,Value,1977,1,0,0,0
Cassette Single,Cassette,Value,1978,1,0,0,0
Cassette Single,Cassette,Value,1979,1,0,0,0
Cassette Single,Cassette,Value,1980,1,0,0,0
Cassette Single,Cassette,Value,1981,1,0,0,0
Cassette Single,Cassette,Value,1982,1,0,0,0
Cassette Single,Cassette,Value,1983,1,0,0,0
Cassette Single,Cassette,Value,1984,1,0,0,0
Cassette Single,Cassette,Value,1985,1,0,0,0
8 - Track,Tapes,Value,1973,1,489,0,489
8 - Track,Tapes,Value,1974,1,549,0,549
8 - Track,Tapes,Value,1975,1,583,0,583
8 - Track,Tapes,Value,1976,1,678,0,678
8 - Track,Tapes,Value,1977,1,811,0,811
8 - Track,Tapes,Value,1978,1,948,0,948
8 - Track,Tapes,Value,1979,1,684,0,684
8 - Track,Tapes,Value,1980,1,527,0,527
8 - Track,Tapes,Value,1981,1,313,0,313
8 - Track,Tapes,Value,1982,1,36,0,36
8 - Track,Tapes,Value,1983,1,0,0,0
8 - Track,Tapes,Value,1984,1,0,0,0
8 - Track,Tapes,Value,1985,1,0,0,0
8 - Track,Tapes,Value,1986,1,0,0,0
8 - Track,Tapes,Value,1987,1,0,0,0
8 - Track,Tapes,Value,1988,1,0,0,0
8 - Track,Tapes,Value,1989,1,0,0,0
8 - Track,Tapes,Value,1990,1,0,0,0
8 - Track,Tapes,Value,1991,1,0,0,0
8 - Track,Tapes,Value,1992,1,0,0,0
8 - Track,Tapes,Value,1993,1,0,0,0
8 - Track,Tapes,Value,1994,1,0,0,0
8 - Track,Tapes,Value,1995,1,0,0,0
8 - Track,Tapes,Value,1996,1,0,0,0
8 - Track,Tapes,Value,1997,1,0,0,0
8 - Track,Tapes,Value,1998,1,0,0,0
8 - Track,Tapes,Value,1999,1,0,0,0
8 - Track,Tapes,Value,2000,1,0,0,0
8 - Track,Tapes,Value,2001,1,0,0,0
